xenbase_gene_id,min,lowerq,sd,mean,median,upperq,max,total,n_zero
XB-GENE-1001017,24,25.5,13.00256384974389,34.333333333333336,31.5,35.25,59,206,0
XB-GENE-1001029,8,15.75,6.911343333004567,18.833333333333332,19,23.75,27,113,0
XB-GENE-1001039,23,25,10.67239429556461,31.5,25.5,38,48,189,0
XB-GENE-1001059,183,223.75,101.3168297964361,286.5,269.5,307.75,468,1719,0
XB-GENE-1001088,345,417.75,261.32948551589044,653.5,696.5,862.75,940,3921,0
XB-GENE-1001113,77,80.25,19.224983745116667,95,91.5,102,128,570,0
XB-GENE-1001131,8,12,7.4139508136125825,15.833333333333334,12.5,20.5,27,95,0
XB-GENE-1001158,363,416.5,245.10161158180907,634,648,810.5,941,3804,0
XB-GENE-1001202,50,55.25,25.561038059254688,70.16666666666667,66,67,120,421,0
XB-GENE-1001213,277,362.25,248.45073287609088,575.1666666666666,599.5,766.25,870,3451,0
XB-GENE-1001247,43,45.25,16.57307052620807,59.333333333333336,56.5,73.75,79,356,0
XB-GENE-1001321,202,247.25,163.61255045584574,385.6666666666667,405,462.25,626,2314,0
XB-GENE-1001347,1930,2301.75,1515.2744965846946,3677,3876.5,4846.75,5432,22062,0
XB-GENE-1001390,44,49.75,19.508117968339914,63.833333333333336,59,74.25,95,383,0
XB-GENE-1001398,234,273,118.98809464255937,371.8333333333333,381.5,441.25,536,2231,0
XB-GENE-1001421,72,83.75,55.76976480734581,120.66666666666667,112,124.5,225,724,0
XB-GENE-1001444,120,162.25,135.37749689910308,264.3333333333333,232,374.5,441,1586,0
XB-GENE-1001458,38,55.5,22.728103015136718,70.16666666666667,73.5,84,99,421,0
XB-GENE-1001470,25,44.5,25.974346318370873,55.666666666666664,50,60.75,102,334,0
XB-GENE-1001488,391,503.25,291.8999828708457,754,838.5,953.25,1073,4524,0
XB-GENE-1001512,175,201.75,109.95165604331144,297.1666666666667,297,377.25,440,1783,0
XB-GENE-1001521,6,6,6.0332412515993425,11,9,15,20,66,0
XB-GENE-1001532,121,175,104.43259389034951,249.16666666666666,239.5,322,392,1495,0
XB-GENE-1001545,75,99.75,50.68497476241521,133.16666666666666,124.5,159,213,799,0
XB-GENE-1001590,148,212.75,92.68171340669096,272.5,274.5,325.75,403,1635,0
XB-GENE-1001617,163,191.5,69.58352295383345,248.66666666666666,255.5,306.75,324,1492,0
XB-GENE-1001623,12,17.25,5.564770136013406,20.166666666666668,21,22.5,28,121,0
XB-GENE-1001661,9,10.25,7.293833011524188,15,11.5,18.75,27,90,0
XB-GENE-1001671,136,184.75,74.73330359797208,236.33333333333334,242,282,337,1418,0
XB-GENE-1001705,118,151,71.36502411312327,208.83333333333334,222,254.75,298,1253,0
XB-GENE-1001715,17,24.75,23.72059583287626,42.333333333333336,36,63,72,254,0
XB-GENE-1001725,385,463,324.6964223188587,759.1666666666666,799,1045.75,1093,4555,0
